rank,trade_date,stock_id,stock_name,close,total_score,original_total_score,multi_factor_score,multi_factor_reason,trend_score,momentum_score,fundamental_score,chip_score,risk_score,credit_score,event_risk_score,liquidity_score,sector_strength_score,revenue_score,monthly_revenue,revenue_yoy,revenue_mom,accumulated_revenue_yoy,revenue_data_month,requested_revenue_month,latest_available_month,revenue_source_status,revenue_3m_trend,revenue_12m_high,revenue_warning,revenue_reason,fundamental_reason,valuation_score,pe_ratio,pb_ratio,dividend_yield,valuation_source,valuation_source_status,valuation_reason,valuation_warning,financial_score,eps,roe,gross_margin,operating_margin,debt_ratio,financial_source,financial_source_status,financial_period,financial_reason,financial_warning,event_score,event_reason,event_risk_level,event_keywords,event_warning,event_blocked,institutional_score,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,total_institutional_net_buy,foreign_buy_days,investment_trust_buy_days,institutional_buy_ratio,institutional_warning,institutional_reason,margin_balance,margin_change,short_balance,short_change,securities_lending_sell_volume,securities_lending_balance,margin_usage_warning,short_selling_warning,is_attention_stock,attention_reason,is_disposition_stock,disposition_start_date,disposition_end_date,disposition_reason,industry,sub_industry,industry_source,sector_strength_mode,stock_return_5d,stock_return_20d,market_return_5d,market_return_20d,sector_return_5d,sector_return_20d,relative_strength_5d,relative_strength_20d,sector_strength_rank,sector_strength_reason,sector_strength_warning,avg_volume_20d,avg_turnover_20d,latest_volume,latest_turnover,turnover_ratio_20d,intraday_trading_ratio,liquidity_warning,slippage_risk_score,market_type,tracking_index,fund_size,expense_ratio,discount_premium,top_holdings_available,etf_data_quality_flags,positive_signals,warning_signals,blocking_risks,momentum_signal,risk_flags,data_quality_flags,investment_risk_flags,candidate_grade,grade_reason,grade_risk_flags,requires_manual_review,review_level,review_reason,data_source_warning,system_comment,market_intel_status,requested_date,actual_data_date,fallback_date,fallback_reason,cache_age_days,is_stale_data,data_freshness_level,market_intel_source,market_intel_warning,market_close,market_volume,volume_change_ratio,market_pe_ratio,market_pb_ratio,market_dividend_yield,market_revenue_growth_yoy,market_eps_growth_yoy,latest_news_titles,matched_news_keywords,news_sentiment_score,market_fundamental_score,market_valuation_score,market_momentum_score,market_chip_score,final_market_score,confidence_score,market_risk_score,final_comment,is_candidate,technical_risk_pass,tradable_pass,risk_pass,risk_reason,reason,stop_loss_price,suggested_position_pct
11,2026-06-05,1342,八貫,104.0,82.46,82.46,68.9,原始技術總分 82.46；月營收年增率大於 20%；累計營收 YoY 大於 10%；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；nan,98.22,91.97,80.0,50.0,100.0,50.0,50.0,60.0,64.0,80.0,349263.0,44.520029296026415,-5.815364535579837,24.10301784998643,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收年增率大於 20%；累計營收 YoY 大於 10%,月營收年增率大於 20%；累計營收 YoY 大於 10%,55.0,17.48,3.88,5.77,TWSE OpenAPI BWIBBU_ALL,OK,殖利率穩定,,56.0,2.08,,27.2031,20.3582,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,272283.0,0.0,0.0,269283.0,1,0,,,三大法人籌碼中性,626.0,-26.0,0.0,0.0,,,,,False,,False,,,,其他,其他,twse,industry_relative,0.1353711790393013,0.1040339702760084,0.0217018320957745,0.0710729257966095,0.0299677446520551,0.0052205771992978,0.1054034343872461,0.0988133930767105,192.0,個股 20 日強於大盤；短線相對強勢；nan,nan,395763.45,38133581.75,1384759.0,141652024.0,3.714626780370559,,nan,65.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向,,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,未通過既有風控,,,D,未通過既有風控,未通過既有風控,True,RISK_REVIEW,投資風險：未通過既有風控,,資料中性，仍以原本技術面與風控結果為準；非交易日，使用最近交易日資料。,OK_WITH_FALLBACK,2026-06-06,2026-06-05,2026-06-05,non_trading_day,1.0,False,RECENT,mixed,市場事件資料不足，採中性處理,104.0,,,16.89,3.75,5.97,44.520029296026415,,無重大事件資料 原始技術總分 81.76；月營收年增率大於 20%；累計營收 YoY 大於 10%；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；nan 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,67.0,89.27,50.0,64.55,90.0,35.45,資料中性，仍以原本技術面與風控結果為準,1,False,False,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,99.04,0.0
12,2026-06-05,4807,日成-KY,38.5,82.45,82.45,68.13,原始技術總分 82.45；月營收年增率大於 20%；累計營收 YoY 大於 10%；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；所屬產業排名前 20%；nan,100.0,100.0,80.0,50.0,83.0,,,,,80.0,173098.0,47.28234973793479,-30.299101246657862,22.504558930295392,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收年增率大於 20%；累計營收 YoY 大於 10%,月營收年增率大於 20%；累計營收 YoY 大於 10%,55.0,28.1,1.94,,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理,,56.0,1.7,,27.7152,14.2702,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,60074.0,0.0,0.0,53878.0,1,0,,,三大法人籌碼中性,1428.0,150.0,29.0,10.0,,,,,False,,False,,,,貿易百貨,貿易百貨,twse,industry_relative,0.3799283154121864,0.7865429234338746,0.0217018320957745,0.0710729257966095,0.069074676187049,0.1039178062438684,0.3108536392251373,0.6826251171900061,13.0,個股 20 日強於大盤；短線相對強勢；所屬產業排名前 20%；nan,nan,605026.75,17753964.1,1767811.0,66846931.0,3.765183404871253,,nan,50.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向,融資連增但股價不漲；流動性偏低,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,,,融資連增但股價不漲；流動性偏低,D,未通過既有風控,融資連增但股價不漲；流動性偏低；未通過既有風控,True,RISK_REVIEW,投資風險：融資連增但股價不漲；流動性偏低；未通過既有風控,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,False,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,35.42,0.0
13,2026-06-05,6698,旭暉應材,45.75,82.45,82.45,61.36,原始技術總分 82.45；月營收年增率低於 -20%；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；nan,100.0,100.0,32.0,50.0,83.0,50.0,50.0,75.0,64.0,32.0,45754.0,-44.63254958432663,-10.36009560753889,-20.55471209866202,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,月營收 YoY 明顯衰退,月營收年增率低於 -20%,月營收年增率低於 -20%,50.0,,2.81,1.09,TWSE OpenAPI BWIBBU_ALL,OK,,PE 為空或負值,40.0,-0.35,,20.5601,-16.4712,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,,EPS 為負,50.0,無重大事件資料,NONE,,,False,50.0,607822.0,0.0,0.0,606822.0,1,0,,,三大法人籌碼中性,2318.0,-47.0,106.0,2.0,,,,,False,,False,,,,其他電子業,其他電子業,twse,industry_relative,0.2151394422310757,0.3905775075987843,0.0217018320957745,0.0710729257966095,0.0256481692419518,0.0863137202649554,0.1894912729891238,0.3042637873338288,60.0,個股 20 日強於大盤；短線相對強勢；nan,nan,1979167.9,78845126.3,5078161.0,231593970.0,2.9373276557234718,,nan,80.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；流動性佳,PE 為空或負值；EPS 為負；月營收 YoY 明顯衰退,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,PE 為空或負值；EPS 為負；月營收 YoY 明顯衰退,,PE 為空或負值；EPS 為負；月營收 YoY 明顯衰退,D,未通過既有風控,PE 為空或負值；EPS 為負；月營收 YoY 明顯衰退；未通過既有風控,True,RISK_REVIEW,投資風險：PE 為空或負值；EPS 為負；月營收 YoY 明顯衰退；未通過既有風控,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。,OK_WITH_FALLBACK,2026-06-06,2026-06-05,2026-06-05,non_trading_day,1.0,False,RECENT,mixed,市場事件資料不足，採中性處理,45.75,,,,2.74,1.12,-44.63254958432663,,無重大事件資料 原始技術總分 82.45；月營收年增率低於 -20%；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；nan 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,38.0,50.0,100.0,50.0,62.15,90.0,37.85,有投資風險標籤，需降低優先度,1,False,False,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,42.09,0.0
14,2026-06-05,2483,百容,30.45,82.45,82.45,66.06,原始技術總分 82.45；月營收 YoY 正成長；累計營收 YoY 大於 10%；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；融資暴增但法人賣超；個股 20 日強於大盤；短線相對強勢；nan,100.0,100.0,70.0,50.0,83.0,22.0,50.0,60.0,64.0,70.0,186813.0,13.223431013061004,6.750895719404111,13.88681254543779,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收 YoY 正成長；累計營收 YoY 大於 10%,月營收 YoY 正成長；累計營收 YoY 大於 10%,55.0,33.1,1.27,0.99,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理,,56.0,0.15,,13.226,-0.297,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-99414.0,0.0,0.0,-101141.0,0,0,,,三大法人籌碼中性,3111.0,2346.0,23.0,23.0,,,,,False,,False,,,,電子零組件業,電子零組件業,twse,industry_relative,0.1848249027237354,0.2794117647058822,0.0217018320957745,0.0710729257966095,0.0087110980309903,0.173507535970782,0.1761138046927451,0.1059042287351001,183.0,個股 20 日強於大盤；短線相對強勢；nan,nan,1195451.6,32377185.6,10502940.0,307530262.0,9.498363007808807,,nan,65.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向,融資連增但股價不漲；融資暴增但法人賣超,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,融資連增但股價不漲；融資暴增但法人賣超,,融資連增但股價不漲；融資暴增但法人賣超,D,未通過既有風控,融資連增但股價不漲；融資暴增但法人賣超；未通過既有風控,True,RISK_REVIEW,投資風險：融資連增但股價不漲；融資暴增但法人賣超；未通過既有風控,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。,OK_WITH_FALLBACK,2026-06-06,2026-06-05,2026-06-05,non_trading_day,1.0,False,RECENT,mixed,市場事件資料不足，採中性處理,30.45,,,30.11,1.15,1.08,13.223431013061004,,無重大事件資料 原始技術總分 82.45；月營收 YoY 正成長；累計營收 YoY 大於 10%；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；融資暴增但法人賣超；個股 20 日強於大盤；nan 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,56.0,100.0,50.0,65.6,90.0,34.4,有投資風險標籤，需降低優先度,1,False,False,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,28.01,0.0
15,2026-06-05,7788,松川精密,224.0,82.45,82.45,65.05,原始技術總分 82.45；月營收 YoY 正成長；累計營收 YoY 大於 10%；PE 過高扣分；EPS 為正；重大負面事件：訴訟；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan；高風險事件或處置股，禁止新增進場,100.0,100.0,70.0,50.0,83.0,40.0,50.0,92.0,64.0,70.0,698719.0,16.377908952210905,5.4662228964309705,15.067386984700663,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收 YoY 正成長；累計營收 YoY 大於 10%,月營收 YoY 正成長；累計營收 YoY 大於 10%,36.0,59.26,2.99,0.89,TWSE OpenAPI BWIBBU_ALL,OK,PE 過高扣分,PE 偏高,56.0,2.22,,26.9359,9.6334,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,15.0,重大負面事件：訴訟,HIGH,訴訟,重大負面事件：訴訟,True,50.0,368000.0,0.0,0.0,412177.0,1,0,,,三大法人籌碼中性,1888.0,391.0,6.0,5.0,,,,,False,,False,,,,電子零組件業,電子零組件業,twse,industry_relative,0.1727748691099475,0.2727272727272727,0.0217018320957745,0.0710729257966095,0.0087110980309903,0.173507535970782,0.1640637710789572,0.0992197367564906,191.0,個股 20 日強於大盤；短線相對強勢；nan,nan,1894684.4,380219849.1,4318068.0,942901189.0,2.4798841807756635,,nan,90.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲；PE 偏高,未通過既有風控；重大事件；未通過事件風控,20 日相對強勢；5 日相對強勢；動能分數偏強,融資連增但股價不漲；PE 偏高,,融資連增但股價不漲；PE 偏高,D,未通過既有風控；高風險事件,融資連增但股價不漲；PE 偏高；未通過既有風控；高風險事件,True,RISK_REVIEW,投資風險：融資連增但股價不漲；PE 偏高；未通過既有風控；高風險事件,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。,OK_WITH_FALLBACK,2026-06-06,2026-06-05,2026-06-05,non_trading_day,1.0,False,RECENT,mixed,市場事件資料不足，採中性處理,224.0,,,53.97,2.72,0.98,16.377908952210905,,無重大事件資料 原始技術總分 82.45；月營收 YoY 正成長；累計營收 YoY 大於 10%；PE 過高扣分；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；nan 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,30.0,100.0,50.0,64.6,90.0,35.4,有投資風險標籤，需降低優先度,1,False,False,0,投資組合總曝險超過上限；重大事件或事件風控未通過,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,206.08,0.0
16,2026-06-05,6890,來億-KY,242.5,82.45,82.45,66.55,原始技術總分 82.45；基本面資料中性；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；nan,100.0,100.0,50.0,50.0,83.0,50.0,35.0,92.0,78.0,50.0,4211254.0,-9.227871290255203,51.50810003176765,-21.1786726002074,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,基本面資料中性,基本面資料中性,55.0,23.99,2.45,3.71,TWSE OpenAPI BWIBBU_ALL,OK,殖利率穩定,,56.0,0.75,,11.6514,2.549,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-1061223.0,3109000.0,0.0,2089885.0,0,1,,,三大法人籌碼中性,1538.0,-238.0,180.0,93.0,,,,,False,,False,,,,運動休閒,運動休閒,twse,industry_relative,0.4477611940298507,0.5746753246753247,0.0217018320957745,0.0710729257966095,0.0604911036022905,0.0623360997125026,0.3872700904275601,0.512339224962822,22.0,個股 20 日強於大盤；短線相對強勢；nan,nan,1569395.8,326887758.65,9871425.0,2377890451.0,7.274333125291537,,nan,90.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；流動性佳,,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,注意股,,,D,未通過既有風控,未通過既有風控,True,RISK_REVIEW,投資風險：未通過既有風控,,資料中性，仍以原本技術面與風控結果為準；非交易日，使用最近交易日資料。,OK_WITH_FALLBACK,2026-06-06,2026-06-05,2026-06-05,non_trading_day,1.0,False,RECENT,mixed,,242.5,,,22.9,2.33,3.89,-9.227871290255203,,無重大事件資料 原始技術總分 82.45；基本面資料中性；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；nan；注意股 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,注意股,-25.0,38.0,55.0,100.0,50.0,62.58,100.0,42.42,資料中性，仍以原本技術面與風控結果為準,1,False,False,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,223.1,0.0
17,2026-06-05,2855,統一證,59.1,82.45,82.45,67.75,原始技術總分 82.45；月營收年增率大於 20%；累計營收 YoY 大於 10%；殖利率穩定；財報資料不足，採中性分數；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；融資暴增但法人賣超；個股 20 日強於大盤；短線相對強勢；nan；財報資料不足,100.0,100.0,80.0,50.0,83.0,,,,,80.0,4443710.0,1002.1406834015808,3286.6127090097093,365.76888748391855,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收年增率大於 20%；累計營收 YoY 大於 10%,月營收年增率大於 20%；累計營收 YoY 大於 10%,55.0,13.22,2.27,3.57,TWSE OpenAPI BWIBBU_ALL,OK,殖利率穩定,,50.0,,,,,,,MISSING,,財報資料不足，採中性分數,,50.0,無重大事件資料,NONE,,,False,50.0,-12608602.0,9448849.0,0.0,-3159753.0,0,1,,,三大法人籌碼中性,7581.0,1256.0,328.0,190.0,,,,,False,,False,,,,金融保險,金融保險,twse,industry_relative,0.2442105263157894,0.4775,0.0217018320957745,0.0710729257966095,0.0769802189111067,0.0985175958389893,0.1672303074046826,0.3789824041610106,44.0,個股 20 日強於大盤；短線相對強勢；nan,nan,12895727.75,627993982.1,40683708.0,2362922715.0,3.7626518443670927,,nan,90.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲；融資暴增但法人賣超,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,,財報資料不足,融資連增但股價不漲；融資暴增但法人賣超,D,未通過既有風控,融資連增但股價不漲；融資暴增但法人賣超；未通過既有風控,True,RISK_REVIEW,投資風險：融資連增但股價不漲；融資暴增但法人賣超；未通過既有風控；資料不足：財報資料不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,False,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,54.37,0.0
18,2026-06-05,3376,新日興,237.0,82.45,82.45,62.94,原始技術總分 82.45；基本面資料中性；PE 過高扣分；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；短線相對強勢；產業強但個股較弱，列入觀察；nan,100.0,100.0,50.0,50.0,83.0,,,,,50.0,907189.0,-10.022157510741533,12.614546221929814,-14.523139707727449,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,基本面資料中性,基本面資料中性,36.0,348.53,2.67,1.69,TWSE OpenAPI BWIBBU_ALL,OK,PE 過高扣分,PE 偏高,56.0,0.15,,14.277,-0.4367,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,2559043.0,0.0,0.0,3232099.0,1,0,,,三大法人籌碼中性,12586.0,224.0,218.0,153.0,,,,,False,,False,,,,電子零組件業,電子零組件業,twse,industry_relative,0.1703703703703702,0.1703703703703702,0.0217018320957745,0.0710729257966095,0.0087110980309903,0.173507535970782,0.16165927233938,-0.0031371656004118,582.0,短線相對強勢；產業強但個股較弱，列入觀察；nan,nan,6641303.8,1416439319.85,15188148.0,3508175587.0,2.4767567080611075,,nan,90.0,,,,,,,,短線相對強勢；流動性佳,融資連增但股價不漲；PE 偏高,未通過既有風控,5 日相對強勢；動能分數偏強,,,融資連增但股價不漲；PE 偏高,D,未通過既有風控,融資連增但股價不漲；PE 偏高；未通過既有風控,True,RISK_REVIEW,投資風險：融資連增但股價不漲；PE 偏高；未通過既有風控,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,False,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,218.04,0.0
19,2026-06-05,8070,長華*,62.7,82.38,82.38,68.72,原始技術總分 82.38；月營收年增率大於 20%；累計營收 YoY 大於 10%；PE 過高扣分；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；nan,100.0,99.71,80.0,50.0,83.0,,,,,80.0,2049007.0,28.146633269854373,0.1130604345644412,22.425299361312284,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收年增率大於 20%；累計營收 YoY 大於 10%,月營收年增率大於 20%；累計營收 YoY 大於 10%,41.0,59.15,2.49,4.32,TWSE OpenAPI BWIBBU_ALL,OK,PE 過高扣分；殖利率穩定,PE 偏高,56.0,0.51,,18.5169,12.1299,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,5115916.0,-5048346.0,0.0,-182786.0,1,0,,,三大法人籌碼中性,12043.0,-1122.0,33.0,-23.0,,,,,False,,False,,,,電子通路業,電子通路業,twse,industry_relative,0.1942857142857144,0.3008298755186722,0.0217018320957745,0.0710729257966095,0.0434294188461961,0.1545932231629328,0.1508562954395182,0.1462366523557394,134.0,個股 20 日強於大盤；短線相對強勢；nan,nan,11297743.6,639309697.45,24540644.0,1516491287.0,2.3720761519007048,,nan,90.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,PE 偏高,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,,,PE 偏高,D,未通過既有風控,PE 偏高；未通過既有風控,True,RISK_REVIEW,投資風險：PE 偏高；未通過既有風控,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,False,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,57.68,0.0
20,2026-06-05,1714,和桐,11.5,82.37,82.37,70.12,原始技術總分 82.37；月營收年增率大於 20%；累計營收 YoY 大於 10%；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；nan,97.23,100.0,80.0,50.0,88.0,,,,,80.0,3183676.0,71.71403036691967,13.71977225155202,47.62349772985901,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收年增率大於 20%；累計營收 YoY 大於 10%,月營收年增率大於 20%；累計營收 YoY 大於 10%,55.0,17.97,0.88,1.57,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理,,56.0,0.23,,11.2376,6.8662,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-813230.0,0.0,0.0,-913368.0,0,0,,,三大法人籌碼中性,11417.0,-7228.0,55.0,-20.0,,,,,False,,False,,,,化學工業,化學工業,twse,industry_relative,0.2105263157894736,0.2459371614301191,0.0217018320957745,0.0710729257966095,0.043365462574932,0.0832326653623513,0.1671608532145416,0.1627044960677678,120.0,個股 20 日強於大盤；短線相對強勢；nan,nan,11379600.3,123077037.2,64868308.0,730411122.0,5.934584863406185,,nan,90.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,,,,D,未通過既有風控,未通過既有風控,True,RISK_REVIEW,投資風險：未通過既有風控,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,False,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,10.63,0.0
