stock_id,stock_name,industry,sub_industry,market_type,source,updated_at
2478,大毅,電子零組件業,電子零組件業,TWSE,manual,2026-05-28
2606,裕民,航運業,航運業,TWSE,manual,2026-05-28
2881,富邦金,金融保險,金融保險,TWSE,manual,2026-05-28
3014,聯陽,半導體業,半導體業,TWSE,manual,2026-05-28
3024,憶聲,光電業,光電業,TWSE,manual,2026-05-28
3033,威健,電子通路業,電子通路業,TWSE,manual,2026-05-28
3042,晶技,電子零組件業,電子零組件業,TWSE,manual,2026-05-28
3048,益登,電子通路業,電子通路業,TWSE,manual,2026-05-28
3059,華晶科,光電業,光電業,TWSE,manual,2026-05-28
3149,正達,光電業,光電業,TWSE,manual,2026-05-28
3257,虹冠電,半導體業,半導體業,TWSE,manual,2026-05-28
3305,昇貿,其他電子業,其他電子業,TWSE,manual,2026-05-28
3311,閎暉,通信網路業,通信網路業,TWSE,manual,2026-05-28
3416,融程電,電腦及週邊設備業,電腦及週邊設備業,TWSE,manual,2026-05-28
3504,揚明光,光電業,光電業,TWSE,manual,2026-05-28
3617,碩天,其他電子業,其他電子業,TWSE,manual,2026-05-28
3694,海華,通信網路業,通信網路業,TWSE,manual,2026-05-28
3704,合勤控,通信網路業,通信網路業,TWSE,manual,2026-05-28
4555,氣立,電機機械,電機機械,TWSE,manual,2026-05-28
4562,穎漢,電機機械,電機機械,TWSE,manual,2026-05-28
4571,鈞興-KY,電機機械,電機機械,TWSE,manual,2026-05-28
4916,事欣科,電腦及週邊設備業,電腦及週邊設備業,TWSE,manual,2026-05-28
4952,凌通,半導體業,半導體業,TWSE,manual,2026-05-28
5285,界霖,半導體業,半導體業,TWSE,manual,2026-05-28
6005,群益證,金融保險,金融保險,TWSE,manual,2026-05-28
6116,彩晶,光電業,光電業,TWSE,manual,2026-05-28
6155,鈞寶,電子零組件業,電子零組件業,TWSE,manual,2026-05-28
6206,飛捷,電腦及週邊設備業,電腦及週邊設備業,TWSE,manual,2026-05-28
6209,今國光,光電業,光電業,TWSE,manual,2026-05-28
6239,力成,半導體業,半導體業,TWSE,manual,2026-05-28
6271,同欣電,半導體業,半導體業,TWSE,manual,2026-05-28
6282,康舒,電子零組件業,電子零組件業,TWSE,manual,2026-05-28
6446,藥華藥,生技醫療業,生技醫療業,TWSE,manual,2026-05-28
6579,研揚,電腦及週邊設備業,電腦及週邊設備業,TWSE,manual,2026-05-28
6719,力智,半導體業,半導體業,TWSE,manual,2026-05-28
6742,澤米,光電業,光電業,TWSE,manual,2026-05-28
6770,力積電,半導體業,半導體業,TWSE,manual,2026-05-28
6834,天二科技,電子零組件業,電子零組件業,TWSE,manual,2026-05-28
6902,GOGOLOOK,數位雲端,數位雲端,TWSE,manual,2026-05-28
7730,暉盛-創,半導體業,半導體業,TWSE,manual,2026-05-28
8150,南茂,半導體業,半導體業,TWSE,manual,2026-05-28
8163,達方,電腦及週邊設備業,電腦及週邊設備業,TWSE,manual,2026-05-28
8926,台汽電,油電燃氣業,油電燃氣業,TWSE,manual,2026-05-28
