trade_date,stock_id,stock_name,industry,sub_industry,industry_source,sector_strength_mode,stock_return_5d,stock_return_20d,market_return_5d,market_return_20d,sector_return_5d,sector_return_20d,relative_strength_5d,relative_strength_20d,sector_strength_score,sector_strength_rank,sector_strength_warning
2026-07-06,00645,富邦日本,ETF,海外市場 ETF,rule_based_etf_mapping,industry_relative,0.0061619718309859906,0.01419698314108242,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,0.0025831389519518156,0.026421111237085352,64.0,588,
2026-07-06,00646,元大S&P500,ETF,海外市場 ETF,rule_based_etf_mapping,industry_relative,0.011463250168577188,-0.0026595744680851796,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,0.007884417289543012,0.009564553627917752,64.0,691,
2026-07-06,00647L,元大S&P500正2,ETF,槓桿反向 ETF,rule_based_etf_mapping,industry_relative,0.01900418091980227,-0.028271112722000558,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,0.015425348040768096,-0.016046984625997626,46.0,857,
2026-07-06,00648R,元大S&P500反1,ETF,槓桿反向 ETF,rule_based_etf_mapping,industry_relative,-0.01231527093596052,0.020356234096692072,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,-0.015894103814994696,0.032580362192695,60.0,536,
2026-07-06,00649,FH香港,ETF,海外市場 ETF,rule_based_etf_mapping,industry_relative,,,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,,,50.0,1353,
2026-07-06,00650L,復華香港正2,ETF,槓桿反向 ETF,rule_based_etf_mapping,industry_relative,0.008528784648187626,-0.17259475218658893,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,0.004949951769153451,-0.160370624090586,39.0,1180,
2026-07-06,00651R,復華香港反1,ETF,槓桿反向 ETF,rule_based_etf_mapping,industry_relative,-0.04095563139931746,0.06844106463878341,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,-0.044534464278351636,0.08066519273478634,64.0,287,
2026-07-06,00652,富邦印度,ETF,海外市場 ETF,rule_based_etf_mapping,industry_relative,0.010510510510510551,0.06319115323854652,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,0.006931677631476376,0.07541528133454944,74.0,315,
2026-07-06,00653L,富邦印度正2,ETF,槓桿反向 ETF,rule_based_etf_mapping,industry_relative,-0.3741851368970013,-0.34619750283768436,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,-0.37776396977603544,-0.33397337474168143,29.0,1276,
2026-07-06,00654R,富邦印度反1,ETF,槓桿反向 ETF,rule_based_etf_mapping,industry_relative,0.0029673590504450953,-0.03566333808844513,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,-0.0006114738285890797,-0.023439209992442197,42.0,899,
2026-07-06,00655L,國泰中國A50正2,ETF,槓桿反向 ETF,rule_based_etf_mapping,industry_relative,-0.025908194874682988,-0.05491803278688523,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,-0.029487027753717164,-0.0426939046908823,36.0,979,
2026-07-06,00656R,國泰中國A50反1,ETF,槓桿反向 ETF,rule_based_etf_mapping,industry_relative,0.042031523642731994,0.06822262118491929,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,0.03845269076369782,0.08044674928092221,78.0,288,
2026-07-06,00657,國泰日經225,ETF,海外市場 ETF,rule_based_etf_mapping,industry_relative,-0.03745541022592147,0.01187500000000008,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,-0.041034243104955646,0.024099128096003012,54.0,605,
2026-07-06,00657K,國泰日經225+U,ETF,海外市場 ETF,rule_based_etf_mapping,industry_relative,-0.039364118092354405,0.03380855397148674,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,-0.04294295097138858,0.04603268206748967,54.0,450,
2026-07-06,00658L,國泰日本正2,ETF,槓桿反向 ETF,rule_based_etf_mapping,industry_relative,,,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,,,50.0,1353,
2026-07-06,00659R,國泰日本反1,ETF,槓桿反向 ETF,rule_based_etf_mapping,industry_relative,,,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,,,50.0,1353,
2026-07-06,00660,元大歐洲50,ETF,海外市場 ETF,rule_based_etf_mapping,industry_relative,-0.4457857769973661,-0.42665758401453224,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,-0.44936460987640026,-0.4144334559185293,29.0,1323,
2026-07-06,00661,元大日經225,ETF,海外市場 ETF,rule_based_etf_mapping,industry_relative,-0.035502958579881616,0.014714204867006364,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,-0.03908179145891579,0.026938332963009296,54.0,584,
2026-07-06,00662,富邦NASDAQ,ETF,科技主題 ETF,rule_based_etf_mapping,industry_relative,0.0016393442622950616,-0.014118596208148482,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,-0.0019394886167391134,-0.0018944681121455496,42.0,768,
