trade_date,stock_id,stock_name,avg_volume_20d,avg_turnover_20d,latest_volume,latest_turnover,turnover_ratio_20d,liquidity_score,slippage_risk_score,liquidity_warning
2026-06-30,1460,宏遠,833012.25,5985634.85,718465.0,5092803.0,0.8508375682155086,50.0,50.0,
2026-06-30,1463,強盛新,52300.25,915349.65,32198.0,555864.0,0.6072695827217501,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1464,得力,648080.75,6694509.75,353152.0,3613991.0,0.5398440117291636,50.0,50.0,
2026-06-30,1465,偉全,139560.5,1736686.7,123662.0,1557867.0,0.8970339900685599,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1466,聚隆,343505.7,4909209.65,617115.0,9019789.0,1.83731998489818,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1467,南緯,349588.35,2630013.2,263422.0,1905062.0,0.7243545393612473,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1468,昶和,50799.7,599810.9,50000.0,593350.0,0.9892284384961993,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1470,大統新創,12498.1,279149.9,6712.0,142840.0,0.5116964039750685,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1471,首利,1048432.25,11836109.1,511435.0,5454269.0,0.46081604638132306,50.0,50.0,
2026-06-30,1472,三洋實業,288087.6,28160445.5,68489.0,6024345.0,0.21392932153718947,60.0,65.0,
2026-06-30,1473,台南,118791.25,2428808.75,142434.0,2830869.0,1.1655380441131893,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1474,弘裕,111116.85,1136786.75,98505.0,994980.0,0.8752565069921865,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1475,業旺,37336.85,985607.55,10300.0,277550.0,0.281602956470859,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1476,儒鴻,1987564.6,665742394.9,1973461.0,624399515.0,0.9378995836577149,92.0,90.0,
2026-06-30,1477,聚陽,3244329.15,717048948.35,2350165.0,514962797.0,0.7181696565973353,92.0,90.0,
2026-06-30,1503,士電,7623479.6,1813352480.3,1988364.0,476006240.0,0.2625006694347973,92.0,90.0,
2026-06-30,1504,東元,35874026.7,2798012967.6,6872164.0,481170847.0,0.17196876947025913,92.0,90.0,
2026-06-30,1506,正道,482853.1,4919916.05,350703.0,3525460.0,0.7165691373941229,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1512,瑞利,139424.8,969968.5,110803.0,746104.0,0.7692043607601691,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1513,中興電,18016517.4,3230789037.5,4855530.0,859793652.0,0.266124975051083,92.0,90.0,
2026-06-30,1514,亞力,7713583.9,996292345.4,2148484.0,260641198.0,0.26161116182756133,92.0,90.0,
2026-06-30,1515,力山,2680816.2,74569971.55,4290333.0,136686199.0,1.832992505681062,75.0,80.0,
2026-06-30,1516,川飛,46269.15,969686.4,11067.0,213899.0,0.22058574813465467,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1517,利奇,322366.45,3372629.3,295070.0,3075680.0,0.9119531755239155,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1519,華城,4214117.2,3609648996.2,2934336.0,2290733392.0,0.6346138902734124,92.0,90.0,
2026-06-30,1521,大億,77020.9,2065012.7,34228.0,866729.0,0.41972090534842715,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1522,堤維西,1021519.05,32208851.4,638852.0,19287497.0,0.5988259798671368,60.0,65.0,
2026-06-30,1522A,堤維西甲特,6212.466666666666,310249.86666666664,5797.0,289219.0,0.9322131322968069,35.0,30.0,價量資料少於 20 日；流動性偏低，短線進出可能有滑價風險
2026-06-30,1524,耿鼎,1313124.85,41483991.4,335587.0,9660975.0,0.23288441333540533,60.0,65.0,
2026-06-30,1525,江申,30469.65,2019003.0,126195.0,8319702.0,4.120698186183973,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1526,日馳,132999.85,1954481.75,53483.0,761553.0,0.38964446713303924,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1527,鑽全,251431.15,8369157.6,226250.0,7513295.0,0.8977361114576216,50.0,50.0,
2026-06-30,1528,恩德,6754027.85,193081051.7,1593056.0,37555232.0,0.19450501056080585,92.0,90.0,
2026-06-30,1529,樂事綠能,1237576.2,29187547.35,552749.0,12426670.0,0.4257524570662495,60.0,65.0,
2026-06-30,1530,亞崴,173764.6,5438040.6,53655.0,1524201.0,0.2802849614620384,50.0,50.0,
2026-06-30,1531,高林股,239505.8,3074137.35,269246.0,3460372.0,1.1256400108472706,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1532,勤美,928007.3,21269121.45,414201.0,9354203.0,0.4398020398722205,60.0,65.0,
2026-06-30,1533,車王電,308274.4,11774947.35,80920.0,2899582.0,0.24625010319048263,50.0,50.0,
2026-06-30,1535,中宇,133681.35,6755969.35,47830.0,2388082.0,0.35347732890469674,50.0,50.0,
2026-06-30,1536,和大,1960780.75,97442077.55,828949.0,39585102.0,0.406242385171723,75.0,80.0,
2026-06-30,1537,廣隆,85688.8,10856398.05,46999.0,5899833.0,0.5434429515966394,50.0,50.0,
2026-06-30,1538,正峰,7224.7,83084.5,2001.0,22311.0,0.26853384205236835,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1539,巨庭,114685.25,1819981.0,79044.0,1229194.0,0.6753883694390216,35.0,30.0,流動性偏低，短線進出可能有滑價風險
