stock_id,stock_name,financial_quarter,eps,eps_yoy,roe,gross_margin,operating_margin,net_margin,debt_ratio,operating_cash_flow,financial_source,financial_source_status,financial_period
1530,亞崴,115Q1,0.18,,,12.7858,-3.5262,3.1959,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1531,高林股,115Q1,0.03,,,14.6927,-6.5131,1.5514,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1532,勤美,115Q1,-0.09,,,21.6049,1.4824,-0.7307,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1533,車王電,115Q1,0.84,,,27.8082,7.1189,10.5754,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1535,中宇,115Q1,0.77,,,11.6429,5.18,4.3214,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1536,和大,115Q1,-0.52,,,6.5196,-13.5133,-12.4283,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1537,廣隆,115Q1,2.11,,,20.2852,11.3646,10.0833,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1538,正峰,115Q1,-1.11,,,15.694,-159.1396,-344.5163,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1539,巨庭,115Q1,0.08,,,8.5054,-0.6914,2.2126,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1540,喬福,115Q1,0.32,,,24.2767,7.9542,31.4087,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1541,錩泰,115Q1,0.48,,,18.742,2.4843,6.3282,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1558,伸興,115Q1,1.23,,,24.2036,5.9963,7.9719,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1560,中砂,115Q1,2.94,,,34.9969,19.3805,19.2808,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1563,巧新,115Q1,0.6,,,22.0054,8.7159,6.9843,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1568,倉佑,115Q1,0.51,,,36.9969,19.7419,21.1358,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1582,信錦,115Q1,0.35,,,19.9682,5.274,2.6118,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1583,程泰,115Q1,0.18,,,18.0295,-4.878,3.0212,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1587,吉茂,115Q1,0.04,,,16.8096,2.9559,0.4181,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1590,亞德客-KY,115Q1,13.35,,,47.9709,33.2039,26.6732,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1597,直得,115Q1,0.43,,,41.7635,13.2478,11.3361,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1598,岱宇,115Q1,0.25,,,42.1224,3.5013,2.114,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1603,華電,115Q1,0.29,,,8.8325,5.5082,3.5039,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1604,聲寶,115Q1,0.51,,,20.1541,6.4268,8.1022,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1605,華新,115Q1,0.81,,,7.774,1.3326,8.5171,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1608,華榮,115Q1,0.37,,,14.0114,12.1462,5.8837,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1609,大亞,115Q1,0.66,,,18.8459,14.0804,7.236,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1611,中電,115Q1,0.13,,,38.2655,12.5853,16.7299,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1612,宏泰,115Q1,0.82,,,17.3965,14.249,13.5846,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1614,三洋電,115Q1,0.47,,,18.4733,2.7644,9.7326,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1615,大山,115Q1,0.94,,,23.4063,19.0271,14.0219,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1616,億泰,115Q1,0.28,,,9.857,5.4001,4.1076,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1617,榮星,115Q1,0.08,,,8.2694,1.5373,1.4049,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1618,合機,115Q1,1.57,,,33.7409,30.1575,25.9191,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
