stock_id,stock_name,date,pe_ratio,pb_ratio,dividend_yield,financial_quarter,valuation_source,valuation_source_status
1522,堤維西,2026-06-10,99.52,1.05,3.89,,TWSE OpenAPI BWIBBU_ALL,OK
1524,耿鼎,2026-06-10,20.07,1.73,4.65,,TWSE OpenAPI BWIBBU_ALL,OK
1525,江申,2026-06-10,42.44,0.98,4.12,,TWSE OpenAPI BWIBBU_ALL,OK
1526,日馳,2026-06-10,,0.65,,,TWSE OpenAPI BWIBBU_ALL,OK
1527,鑽全,2026-06-10,36.54,0.94,4.51,,TWSE OpenAPI BWIBBU_ALL,OK
1528,恩德,2026-06-10,,2.25,,,TWSE OpenAPI BWIBBU_ALL,OK
1529,樂事綠能,2026-06-10,19.3,1.86,4.55,,TWSE OpenAPI BWIBBU_ALL,OK
1530,亞崴,2026-06-10,27.48,0.92,3.16,,TWSE OpenAPI BWIBBU_ALL,OK
1531,高林股,2026-06-10,,0.64,7.78,,TWSE OpenAPI BWIBBU_ALL,OK
1532,勤美,2026-06-10,19.62,0.64,3.49,,TWSE OpenAPI BWIBBU_ALL,OK
1533,車王電,2026-06-10,23.47,1.57,,,TWSE OpenAPI BWIBBU_ALL,OK
1535,中宇,2026-06-10,12.7,1.54,6.07,,TWSE OpenAPI BWIBBU_ALL,OK
1536,和大,2026-06-10,,1.82,,,TWSE OpenAPI BWIBBU_ALL,OK
1537,廣隆,2026-06-10,16.64,2.25,5.69,,TWSE OpenAPI BWIBBU_ALL,OK
1538,正峰,2026-06-10,,2.98,,,TWSE OpenAPI BWIBBU_ALL,OK
1539,巨庭,2026-06-10,391.25,0.64,5.43,,TWSE OpenAPI BWIBBU_ALL,OK
1540,喬福,2026-06-10,23.17,1.22,4.64,,TWSE OpenAPI BWIBBU_ALL,OK
1541,錩泰,2026-06-10,9.12,0.76,2.42,,TWSE OpenAPI BWIBBU_ALL,OK
1558,伸興,2026-06-10,16.12,1.1,5.52,,TWSE OpenAPI BWIBBU_ALL,OK
1560,中砂,2026-06-10,60.06,11.01,0.82,,TWSE OpenAPI BWIBBU_ALL,OK
1563,巧新,2026-06-10,131.82,1.53,3.45,,TWSE OpenAPI BWIBBU_ALL,OK
1568,倉佑,2026-06-10,28.36,2.12,2.63,,TWSE OpenAPI BWIBBU_ALL,OK
1582,信錦,2026-06-10,32.18,1.7,3.39,,TWSE OpenAPI BWIBBU_ALL,OK
1583,程泰,2026-06-10,17.67,0.94,2.03,,TWSE OpenAPI BWIBBU_ALL,OK
1587,吉茂,2026-06-10,68.05,1.39,1.79,,TWSE OpenAPI BWIBBU_ALL,OK
1590,亞德客-KY,2026-06-10,28.13,5.05,2.27,,TWSE OpenAPI BWIBBU_ALL,OK
1597,直得,2026-06-10,123.95,5.38,0.47,,TWSE OpenAPI BWIBBU_ALL,OK
1598,岱宇,2026-06-10,,0.83,2.38,,TWSE OpenAPI BWIBBU_ALL,OK
1603,華電,2026-06-10,11.75,0.66,6.33,,TWSE OpenAPI BWIBBU_ALL,OK
1604,聲寶,2026-06-10,14.12,1.0,6.44,,TWSE OpenAPI BWIBBU_ALL,OK
1605,華新,2026-06-10,25.4,0.94,1.44,,TWSE OpenAPI BWIBBU_ALL,OK
1608,華榮,2026-06-10,6.11,1.47,5.94,,TWSE OpenAPI BWIBBU_ALL,OK
1609,大亞,2026-06-10,15.33,1.64,1.91,,TWSE OpenAPI BWIBBU_ALL,OK
1611,中電,2026-06-10,338.75,1.11,5.9,,TWSE OpenAPI BWIBBU_ALL,OK
1612,宏泰,2026-06-10,12.45,1.45,6.69,,TWSE OpenAPI BWIBBU_ALL,OK
1614,三洋電,2026-06-10,23.9,1.47,3.07,,TWSE OpenAPI BWIBBU_ALL,OK
1615,大山,2026-06-10,9.41,1.8,5.83,,TWSE OpenAPI BWIBBU_ALL,OK
1616,億泰,2026-06-10,18.01,1.85,6.14,,TWSE OpenAPI BWIBBU_ALL,OK
1617,榮星,2026-06-10,18.35,1.2,3.72,,TWSE OpenAPI BWIBBU_ALL,OK
1618,合機,2026-06-10,9.54,1.3,3.92,,TWSE OpenAPI BWIBBU_ALL,OK
1623,大東電,2026-06-10,17.41,3.56,3.71,,TWSE OpenAPI BWIBBU_ALL,OK
1626,艾美特-KY,2026-06-10,,0.55,,,TWSE OpenAPI BWIBBU_ALL,OK
1702,南僑,2026-06-10,43.68,0.66,5.09,,TWSE OpenAPI BWIBBU_ALL,OK
1707,葡萄王,2026-06-10,12.75,1.51,5.88,,TWSE OpenAPI BWIBBU_ALL,OK
1708,東鹼,2026-06-10,13.8,1.56,3.44,,TWSE OpenAPI BWIBBU_ALL,OK
1709,和益,2026-06-10,15.22,1.16,4.73,,TWSE OpenAPI BWIBBU_ALL,OK
1710,東聯,2026-06-10,,1.14,,,TWSE OpenAPI BWIBBU_ALL,OK
