trade_date,stock_id,stock_name,margin_balance,margin_change,short_balance,short_change,securities_lending_sell_volume,securities_lending_balance
2026-05-18,00932,兆豐永續高息等權,5.0,0.0,0.0,0.0,,
2026-05-18,00934,中信成長高股息,492.0,52.0,0.0,0.0,,
2026-05-18,00935,野村臺灣新科技50,2779.0,30.0,66.0,-2.0,,
2026-05-18,00936,台新永續高息中小,11.0,4.0,0.0,0.0,,
2026-05-18,00938,凱基優選30,50.0,-21.0,0.0,0.0,,
2026-05-18,00939,統一台灣高息動能,86.0,5.0,0.0,0.0,,
2026-05-18,00940,元大台灣價值高息,1156.0,7.0,0.0,0.0,,
2026-05-18,00941,中信上游半導體,200.0,11.0,1.0,0.0,,
2026-05-18,00943,兆豐電子高息等權,5.0,0.0,0.0,0.0,,
2026-05-18,00944,野村趨勢動能高息,2.0,0.0,0.0,0.0,,
2026-05-18,00945B,凱基美國非投等債,957.0,2.0,0.0,0.0,,
2026-05-18,00946,群益科技高息成長,605.0,9.0,0.0,0.0,,
2026-05-18,00947,台新臺灣IC設計,2621.0,-75.0,16.0,1.0,,
2026-05-18,00949,復華日本龍頭,144.0,0.0,0.0,0.0,,
2026-05-18,00951,台新日本半導體,1403.0,1.0,2.0,-1.0,,
2026-05-18,00952,凱基台灣AI50,668.0,-1.0,0.0,0.0,,
2026-05-18,00953B,群益優選非投等債,72418.0,-2103.0,0.0,0.0,,
2026-05-18,00954,中信日本半導體,1135.0,8.0,0.0,0.0,,
2026-05-18,00956,中信日經高股息,96.0,1.0,0.0,0.0,,
2026-05-18,00960,野村全球航運龍頭,63.0,-1.0,0.0,0.0,,
2026-05-18,00961,FT臺灣永續高息,774.0,48.0,0.0,0.0,,
2026-05-18,00962,台新AI優息動能,95.0,-30.0,0.0,0.0,,
2026-05-18,00963,中信全球高股息,11.0,0.0,0.0,0.0,,
2026-05-18,00964,中信亞太高股息,64.0,0.0,0.0,0.0,,
2026-05-18,00965,元大航太防衛科技,3500.0,-3.0,53.0,1.0,,
2026-05-18,00971,野村美國研發龍頭,60.0,0.0,0.0,0.0,,
2026-05-18,00972,野村日本動能高息,11.0,0.0,0.0,0.0,,
2026-05-18,009800,中信NASDAQ,1450.0,10.0,9.0,0.0,,
2026-05-18,009801,中信美國創新科技,95.0,0.0,2.0,0.0,,
2026-05-18,009802,富邦旗艦50,2510.0,-8.0,5.0,-9.0,,
2026-05-18,009803,玉山市值動能50,128.0,4.0,0.0,0.0,,
2026-05-18,009804,聯邦台精彩50,120.0,2.0,0.0,0.0,,
2026-05-18,009805,新光美國電力基建,18347.0,39.0,5.0,4.0,,
2026-05-18,009808,華南永昌優選50,71.0,0.0,0.0,0.0,,
2026-05-18,009809,富邦淨零ESG50,4.0,0.0,0.0,0.0,,
2026-05-18,00980A,主動野村臺灣優選,4695.0,-198.0,0.0,0.0,,
2026-05-18,009810,玉山全球藍籌100,0.0,-1.0,0.0,0.0,,
